pertanyaan,jawaban
Apa yang dimaksud dengan Elevate?,Elevate Your Campus Experience!
Apa saja Asrama yang ada?,"Lihat Fasilitas Lainnya Asrama Kesehatan & Olahraga Area Mahasiswa Laboratorium Layanan Makanan Asrama Sejak didirikan tahun 2001, IT Del sudah mengharuskan mahasiswanya untuk tinggal diasrama tanpa terkecuali."
Apa yang dimaksud dengan Tujuannya?,Tujuannya adalah agar menunjang keberhasilan pencapaian tujuan pendidikan mahasiswanya.
Apa yang dimaksud dengan Asrama?,Asrama di IT Del juga merupakan sarana pendidikan dalam pembentukan karakter mahasiswanya.
Apa yang dimaksud dengan IT?,"IT Del selalu berusaha menciptakan manusia yang tidak hanya pintar tapi juga yang MarTuhan, Maroha dan Marbisuk (Berketuhanan, Berperasaan dan Bijaksana)."
Apa saja Asrama yang ada?,Asrama Pniel merupakan salah satu gedung asrama yang dikhususkan untuk mahasiswa-mahasiswa Institut Teknologi Del.
Apa saja Asrama yang ada?,Asrama Jati juga merupakan salah satu gedung asrama yang dikhususkan untuk mahasiswa-mahasiswa Institut Teknologi Del.
Apa saja Asrama yang ada?,Asrama Rusun 2 merupakan salah satu gedung asrama yang dikhususkan untuk mahasiswi-mahasiswi Institut Teknologi Del.
Apa fasilitas olahraga di IT Del,Olahraga & Kesehatan Kampus IT Del memiliki fasilitas dibagian olahraga dan kesehatan.
Apa fasilitas olahraga di IT Del,Fasilitas dibagian olahraga terdapat beberapa lapangan yang dipakai untuk melakukan acara formal maupun non formal.
Apa yang dimaksud dengan Mahasiwa?,Mahasiwa juga menggunakan lapangan untuk acara himpunan seperti temu ramah dan welcoming party.
Fasilitas apa saja yang tersedia di IT Del?,Untuk fasilitas kesehatan terdapat klinik yang juga memiliki tenaga kerja dokter serta perawat yang profesional.
Fasilitas apa saja yang tersedia di IT Del?,Lapangan Hijau adalah salah satu fasilitas yang ada di IT Del.
Apa fasilitas yang disediakan?,Lapangan hijau biasa digunakan oleh warga Del untuk melakukan acara-acara besar baik itu acara formal maupun non-formal.
Apa fasilitas yang disediakan?,"Lapangan hijau biasanya digunakan oleh mahasiswa untuk kegiatan dari himpunan prodi seperti temu ramah bersama, welcoming party, atau acara dari BEM seperti festival ataupun acara lainnya."
Apa fasilitas olahraga di IT Del,Lapangan basket adalah lapangan yang juga merupakan fasilitas bagi mahasiswa dibidang olahraga.
Apa fasilitas olahraga di IT Del,"Lapangan basket digunakan untuk acara olahraga yang disediakan oleh BEM seperti KM CUP (Kegiatan Mahasiswa CUP), dan lapangan ini juga biasa digunakan oleh mahasiswa untuk mengisi waktu luang di weekend atau di sore hari setelah jam akademik."
Apa yang dimaksud dengan Lapangan?,Lapangan Voli tidak  jauh berbeda fungsinya dengan lapangan basket.
Apa fasilitas olahraga di IT Del,Lapangan voli juga digunakan dalam acara olahraga BEM dan digunakan disaat waktu luang.
Apa fasilitas kesehatan yang disediakan IT Del?,Klinik adalah fasilitas kesehatan yang dimiliki oleh IT Del.
Apa fasilitas kesehatan yang disediakan IT Del?,"Klinik IT Del dilengkapi dengan obat-obat yang lengkap, ruangan yang diperlukan jika ada mahasiswa yang perlu diinfus, dokter dan juga perawat."
Apa yang dimaksud dengan Selain?,Selain itu juga tersedianya mobil kesehatan yang digunakan untuk menjemput mahasiswa sakit yang berada dikampus.
Fasilitas apa saja yang tersedia di IT Del?,Fasilitas Area Mahasiswa ini berisikan pengenalan fasilitas-fasilitas di Institut Teknologi Del yang dapat digunakan oleh mahasiswa IT Del.
Apa yang dimaksud dengan Fasilitas?,Fasilitas area mahasiswa kerap digunakan selama jam akademik dalam proses pembelajaran maupun diluar jam akademik untuk kepentingan pribadi dan belajarÂ mandiri.
Apa yang dimaksud dengan Institut?,Institut Teknologi Del menyediakan ruangan kelas sebagai sarana utama belajar bagi mahasiswa.
Apa yang dimaksud dengan IT?,IT Del menyediakan smart classroom untuk mendukung kegiatan belajar mengajar mahasiswa.
Apa yang dimaksud dengan Ruang?,Ruang Kelas juga disediakan Idea Hub dan proyektor sebagai alat pendukung pembelajaran.
Apa fasilitas yang diberikan untuk mahasiswa IT Del?,Kampus juga menyediakan perpustakaan bagi mahasiswa.
Apa fasilitas yang diberikan untuk mahasiswa IT Del?,Buku yang tersedia di perpustakaan sudah hampir berjumlah +/- 2000 buah.
Apa yang dimaksud dengan Perpustakaan?,Perpustakaan dapat digunakan oleh mahasiswa maupun staff IT Del sebagai sarana belajar maupun berdiskusi.
Apa yang dimaksud dengan Perpustakaan?,"Perpustakaan menyediakan tempat belajar, BI Corner, ruang diskusi, dan ruang audiovisual."
Apa yang dimaksud dengan Perpustakaan?,Perpustakaan dibuka mulai pukul 08:00 - 18:00 WIB.
