question, answer
Apa kepanjangan dari IT Del?, Institut Teknologi Del.
Dimana lokasi IT Del?, Desa Sitoluama,  Kecamatan Laguboti,  Kabupaten Toba,  Sumatera Utara,  Indonesia.
Siapa pendiri Institut Teknologi Del?, Jenderal TNI (Purn.) Luhut Binsar Panjaitan.
Apa nama awal dari Yayasan Del?, Yayasan Simargala.
Kapan Yayasan Del didirikan?, 30 Agustus 2001.
Apa tujuan didirikannya Yayasan Del?, Untuk meningkatkan keterampilan dan kesejahteraan masyarakat,  khususnya di daerah pedesaan.
Kapan peletakan batu pertama pembangunan kampus IT Del dilakukan?, 15 Maret 2001.
Apa alasan utama pendirian IT Del di Desa Sitoluama?, Untuk memberikan pendidikan berkualitas bagi masyarakat pedesaan yang sulit mengakses perguruan tinggi ternama.
Apa harapan dari pendirian IT Del?, Mencetak technopreneur dan berkontribusi pada pengembangan ilmu pengetahuan dan teknologi di Indonesia.
Kapan kampus IT Del diresmikan dan oleh siapa?, 1 Desember 2005 oleh Presiden Susilo Bambang Yudhoyono.
Apa nama awal IT Del sebelum berubah menjadi institut?, Politeknik Informatika Del (PI Del).
Kapan IT Del resmi menjadi institut?, 5 Juli 2013.
Apa isi Surat Keputusan Kemdikbud No. 266/E/0/023?, Izin penyelenggaraan program pendidikan Sarjana,  Diploma IV,  dan Diploma III.
Berapa jumlah angkatan yang telah diwisuda IT Del hingga September 2024?, 21 angkatan.
Berapa fakultas yang ada di IT Del saat ini?, Empat fakultas.
Dimana letak geografis IT Del?, Di pinggir Danau Toba,  sekitar 250 km dari Medan dan 10 km dari Balige.
Apa visi IT Del?, Mencetak lulusan yang kompetitif di bidang teknologi dan menciptakan SDM unggul.
Apa karakter utama yang ingin dibentuk oleh IT Del?, Karakter Del yang selangkah lebih maju,  berlandaskan iman,  hati nurani yang bersih,  dan akal budi terpelajar.
Apa saja nilai-nilai dasar IT Del?, MarTuhan,  Marroha,  dan Marbisuk.
Apa makna dari nilai MarTuhan?, Menekankan hidup berdasarkan iman kepada Tuhan dan etika dalam kehidupan.
Apa arti nilai Marroha?, Kesadaran diri,  kejujuran,  empati,  dan refleksi diri.
Apa arti nilai Marbisuk?, Kebijaksanaan yang lahir dari pemikiran matang dan pembelajaran berkelanjutan.
Apa tujuan pendidikan vokasi di IT Del?, Menyiapkan lulusan siap kerja yang mampu bersaing secara global di dunia industri.
Apa saja program studi di Fakultas Vokasi IT Del?, D4 Teknologi Rekayasa Perangkat Lunak,  D3 Teknologi Informasi,  D3 Teknologi Komputer.
Apa saja program studi di Fakultas Teknik Informatika dan Elektro (FITE)?, S1 Informatika,  S1 Sistem Informasi,  S1 Teknik Elektro.
Apa program studi di Fakultas Bioteknologi?, S1 Teknik Bioproses.
Apa saja program studi di Fakultas Teknologi Industri?, S1 Manajemen Rekayasa dan S1 Teknik Metalurgi.
Kapan program studi Teknik Metalurgi mulai dibuka?, Tahun 2023.
Apa saja fasilitas yang dimiliki IT Del?, Laboratorium,  asrama,  kantin,  perpustakaan,  sarana olahraga,  klinik,  Wi-Fi,  ruang kuliah ergonomis,  dan lainnya.
Siapa saja yang pernah menjabat sebagai Rektor IT Del?, Dr. Ir. I Gde Nyoman Merthayasa,  Peter John Boyer,  Prof. Ir. Saswinadi Sasmojo,  Dr. Ir. Inggriani Liem,  Dr. Arlinta Christy Barus,  Prof. Dr. Roberd Saragih,  Prof. Ir Togar M. Simatupang,  dan Dr. Arnaldo Marulitua Sinaga.
Apa tujuan dari Unit Kegiatan Mahasiswa di IT Del?, Untuk meningkatkan kreativitas mahasiswa dalam berbagai bidang.
Apa saja UKM yang ada di IT Del?, Drama Tari,  Paduan Suara,  Gitar,  Kesehatan,  Del Robotic,  Usaha,  Ethical Hacking,  Mobile Dev,  Basket,  POSS,  English Club,  Programming,  Photography,  Tour Guide.
Siapa yang bertanggung jawab atas UKM IT Del?, Badan Eksekutif Mahasiswa (BEM) IT Del.
Berapa angkatan yang telah diwisuda oleh IT Del sampai 2024?, 21 angkatan.
Dimana alumni IT Del banyak bekerja?, Jabodetabek,  Sumatera Utara,  dan Batam.
Apa nama organisasi alumni IT Del?, IA Del (Ikatan Alumni Del).
Siapa ketua IA Del saat ini?, Ecko Fernando Manalu.
